skill_no,skill_name_ko,origin_move_en,origin_type_ko,origin_category_ko,origin_power,origin_accuracy,origin_pp,origin_effect_en,ai_element,ai_pattern,ai_concept_ko,ai_keyword_ko,ai_effect_ko,ai_mapping_memo_ko,ai_status_family_ko,ai_status_element_ko
001,기억 흡수,Absorb,풀,특수,20,100,25,User recovers half the HP inflicted on opponent.,메모리,흡수,메모리 관리,컨텍스트 윈도우,준 피해의 절반만큼 자신을 회복한다.,피해 흡수 / 메모리 관리 / 컨텍스트 윈도우,회복,메모리
002,오염 산성,Acid,독,특수,40,100,30,May lower opponent's Special Defense.,정렬,단일 공격,안전·정렬,안전 필터,피해와 함께 추가 상태이상을 남길 가능성이 있다.,상대 약화 / 안전·정렬 / 안전 필터,노출,검색
003,오염 산성 갑주,Acid Armor,독,변화,—,—,20,Sharply raises user's Defense.,정렬,버프,안전·정렬,가드레일,자신의 핵심 성능을 크게 끌어올린다.,자가 강화 / 안전·정렬 / 가드레일,증폭,학습
004,추론 가속,Agility,에스퍼,변화,—,—,30,Sharply raises user's Speed.,시스템,버프,비용·성능 최적화,응답 속도,자신의 핵심 성능을 크게 끌어올린다.,속도 강화 / 비용·성능 최적화 / 응답 속도,증폭,학습
005,추론 망각,Amnesia,에스퍼,변화,—,—,20,Sharply raises user's Special Defense.,메모리,버프,메모리 관리,메모리 압축,자신의 핵심 성능을 크게 끌어올린다.,특수 방어 강화 / 메모리 관리 / 메모리 압축,증폭,학습
006,정렬 오로라 빔,Aurora Beam,얼음,특수,65,100,20,May lower opponent's Attack.,정렬,단일 공격,안전·정렬,정책 집행,피해와 함께 추가 상태이상을 남길 가능성이 있다.,상대 약화 / 안전·정렬 / 정책 집행,없음,없음
007,프롬프트 연사,Barrage,노말,물리,15,85,20,Hits 2-5 times in one turn.,대화,연타,프롬프트 엔지니어링,시스템 프롬프트,한 번에 여러 차례 연속 타격한다.,다단 히트 / 프롬프트 엔지니어링 / 시스템 프롬프트,없음,없음
008,추론 장벽,Barrier,에스퍼,변화,—,—,20,Sharply raises user's Defense.,정렬,보호막,안전·정렬,안전 장치,자신의 핵심 성능을 크게 끌어올린다.,방어 장벽 전개 / 안전·정렬 / 안전 장치,보호,정렬
009,프롬프트 비축,Bide,노말,물리,—,—,10,User takes damage for two turns then strikes back double.,추론,충전 후 발동,추론 최적화,판정 루프,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,피해 축적 후 반격 / 추론 최적화 / 판정 루프,없음,없음
010,프롬프트 속박,Bind,노말,물리,15,85,20,"Traps opponent, damaging them for 4-5 turns.",에이전트,행동 봉쇄,에이전트 오케스트레이션,실행 상태 관리,상대를 묶어 두고 여러 턴 지속 피해를 준다.,상대 속박 / 에이전트 오케스트레이션 / 실행 상태 관리,속박,에이전트
011,그림자 교합,Bite,악,물리,60,100,25,May cause flinching.,정렬,단일 공격,안전·정렬,모더레이션,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 안전·정렬 / 모더레이션,지연,시스템
012,정렬 블리자드,Blizzard,얼음,특수,110,70,5,May freeze opponent.,정렬,광역 공격,안전·정렬,레드팀,낮은 확률로 상대를 정지 상태로 만든다.,정지 상태 부여 / 안전·정렬 / 레드팀,정지,정렬
013,프롬프트 바디 슬램,Body Slam,노말,물리,85,100,15,May paralyze opponent.,대화,강공격,프롬프트 엔지니어링,프롬프트 템플릿,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 프롬프트 엔지니어링 / 프롬프트 템플릿,지연,시스템
014,인프라 본 클럽,Bone Club,땅,물리,65,85,20,May cause flinching.,시스템,단일 공격,배포·인프라,카나리 배포,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 배포·인프라 / 카나리 배포,지연,시스템
015,인프라 부메랑,Bonemerang,땅,물리,50,90,10,Hits twice in one turn.,시스템,연타,배포·인프라,블루그린 배포,한 번의 사용으로 두 차례 공격한다.,이중 타격 / 배포·인프라 / 블루그린 배포,없음,없음
016,멀티 버블,Bubble,물,특수,40,100,30,May lower opponent's Speed.,멀티모달,단일 공격,멀티모달 이해,비전-텍스트 정렬,피해와 함께 추가 상태이상을 남길 가능성이 있다.,상대 약화 / 멀티모달 이해 / 비전-텍스트 정렬,지연,시스템
017,멀티 버블 빔,Bubble Beam,물,특수,65,100,20,May lower opponent's Speed.,멀티모달,단일 공격,멀티모달 이해,멀티모달 인코더,피해와 함께 추가 상태이상을 남길 가능성이 있다.,상대 약화 / 멀티모달 이해 / 멀티모달 인코더,지연,시스템
018,멀티 클램프,Clamp,물,물리,35,85,15,"Traps opponent, damaging them for 4-5 turns.",에이전트,행동 봉쇄,에이전트 오케스트레이션,상태 머신,상대를 묶어 두고 여러 턴 지속 피해를 준다.,집게 속박 / 에이전트 오케스트레이션 / 상태 머신,속박,에이전트
019,프롬프트 코멧 펀치,Comet Punch,노말,물리,18,85,15,Hits 2-5 times in one turn.,대화,연타,프롬프트 엔지니어링,역할 지시문,한 번에 여러 차례 연속 타격한다.,다단 히트 / 프롬프트 엔지니어링 / 역할 지시문,없음,없음
020,유령 혼선 레이,Confuse Ray,고스트,변화,—,100,10,Confuses opponent.,오염,상태이상,안전·정렬,유해성 완화,상대를 환각 상태로 만들 수 있다.,환각 광선 / 안전·정렬 / 유해성 완화,혼선,오염
021,추론 혼란,Confusion,에스퍼,특수,50,100,25,May confuse opponent.,추론,단일 공격,추론 최적화,체인 오브 소트,상대를 환각 상태로 만들 수 있다.,환각 상태 부여 / 추론 최적화 / 체인 오브 소트,혼선,오염
022,프롬프트 수축,Constrict,노말,물리,10,100,35,May lower opponent's Speed by one stage.,에이전트,행동 봉쇄,에이전트 오케스트레이션,실행 전이,피해와 함께 추가 상태이상을 남길 가능성이 있다.,수축 압박 / 에이전트 오케스트레이션 / 실행 전이,속박,에이전트
023,프롬프트 변환,Conversion,노말,변화,—,—,30,Changes user's type to that of its first move.,대화,변환,프롬프트 엔지니어링,출력 스키마,자신의 원소 구성을 전장 상황에 맞게 바꾼다.,자기 타입 변환 / 프롬프트 엔지니어링 / 출력 스키마,전환,에이전트
024,코드 카운터,Counter,격투,물리,—,100,20,"When hit by a Physical Attack, user strikes back with 2x power.",코드,단일 공격,코드 실행·수정,리팩터링,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,"When hit by a Physical Attack, user strikes back with 2x power / 코드 실행·수정 / 리팩터링",없음,없음
025,멀티 크랩해머,Crabhammer,물,물리,100,90,10,High critical hit ratio.,멀티모달,강공격,멀티모달 이해,OCR 파이프라인,치명타가 잘 발생하는 정밀 타격 기술이다.,치명타 특화 / 멀티모달 이해 / OCR 파이프라인,없음,없음
026,프롬프트 절단,Cut,노말,물리,50,95,30,,대화,단일 공격,프롬프트 엔지니어링,제약 조건,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 제약 조건,없음,없음
027,프롬프트 방어 말기,Defense Curl,노말,변화,—,—,40,Raises user's Defense.,정렬,보호막,안전·정렬,탈옥 방어,자신의 성능을 올려 다음 전개를 유리하게 만든다.,자가 강화 / 안전·정렬 / 탈옥 방어,보호,정렬
028,인프라 잠복,Dig,땅,물리,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves.",에이전트,충전 후 발동,에이전트 오케스트레이션,워크플로 오케스트레이션,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,2턴 전환 후 타격 / 에이전트 오케스트레이션 / 워크플로 오케스트레이션,없음,없음
029,프롬프트 봉쇄,Disable,노말,변화,—,100,20,Opponent can't use its last attack for a few turns.,에이전트,유틸,에이전트 오케스트레이션,실행 게이트,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,마지막 기술 봉쇄 / 에이전트 오케스트레이션 / 실행 게이트,속박,에이전트
030,프롬프트 현기 펀치,Dizzy Punch,노말,물리,70,100,10,May confuse opponent.,대화,단일 공격,프롬프트 엔지니어링,구조화 응답,상대를 환각 상태로 만들 수 있다.,환각 상태 부여 / 프롬프트 엔지니어링 / 구조화 응답,혼선,오염
031,코드 이중 킥,Double Kick,격투,물리,30,100,30,Hits twice in one turn.,코드,연타,코드 실행·수정,패치 적용,한 번의 사용으로 두 차례 공격한다.,이중 타격 / 코드 실행·수정 / 패치 적용,없음,없음
032,프롬프트 이중 슬랩,Double Slap,노말,물리,15,85,10,Hits 2-5 times in one turn.,대화,연타,프롬프트 엔지니어링,프롬프트 체이닝,한 번에 여러 차례 연속 타격한다.,다단 히트 / 프롬프트 엔지니어링 / 프롬프트 체이닝,없음,없음
033,프롬프트 이중 분신,Double Team,노말,변화,—,—,15,Raises user's Evasiveness.,대화,버프,프롬프트 엔지니어링,지시문 압축,자신의 성능을 올려 다음 전개를 유리하게 만든다.,자가 강화 / 프롬프트 엔지니어링 / 지시문 압축,증폭,학습
034,프롬프트 이중 엣지,Double-Edge,노말,물리,120,100,15,User receives recoil damage.,시스템,반동/고비용,비용·성능 최적화,추론 비용,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,User receives recoil damage / 비용·성능 최적화 / 추론 비용,반동,시스템
035,프런티어 드래곤 분노,Dragon Rage,드래곤,특수,—,100,10,Always inflicts 40 HP.,학습,단일 공격,학습·튜닝,파인튜닝,고정 피해를 주는 특수 계산형 기술이다.,Always inflicts 40 HP / 학습·튜닝 / 파인튜닝,없음,없음
036,추론 드림 흡식,Dream Eater,에스퍼,특수,100,100,15,User recovers half the HP inflicted on a sleeping opponent.,메모리,흡수,메모리 관리,기억 복원,준 피해의 절반만큼 자신을 회복한다.,수면 대상 흡수 / 메모리 관리 / 기억 복원,회복,메모리
037,에이전트 드릴 쪼기,Drill Peck,비행,물리,80,100,20,,에이전트,단일 공격,에이전트 오케스트레이션,함수 호출,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 에이전트 오케스트레이션 / 함수 호출,없음,없음
038,인프라 지진,Earthquake,땅,물리,100,100,10,Power is doubled if opponent is underground from using Dig.,시스템,광역 공격,배포·인프라,오토스케일링,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Power is doubled if opponent is underground from using Dig / 배포·인프라 / 오토스케일링,없음,없음
039,프롬프트 에그 폭탄,Egg Bomb,노말,물리,100,75,10,,대화,강공격,프롬프트 엔지니어링,예시 프롬프트,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 예시 프롬프트,없음,없음
040,생성 불씨,Ember,불꽃,특수,40,100,25,May burn opponent.,생성,단일 공격,생성 제어,샘플링 온도,낮은 확률로 상대를 과열 상태로 만든다.,과열 상태 부여 / 생성 제어 / 샘플링 온도,과열,생성
041,프롬프트 폭발,Explosion,노말,물리,250,100,5,User faints.,시스템,반동/고비용,비용·성능 최적화,지연 시간,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,User faints / 비용·성능 최적화 / 지연 시간,반동,시스템
042,생성 화염 블래스트,Fire Blast,불꽃,특수,110,85,5,May burn opponent.,생성,초고위력,생성 제어,탑P,낮은 확률로 상대를 과열 상태로 만든다.,과열 상태 부여 / 생성 제어 / 탑P,과열,생성
043,생성 화염 펀치,Fire Punch,불꽃,물리,75,100,15,May burn opponent.,생성,단일 공격,생성 제어,빔 서치,낮은 확률로 상대를 과열 상태로 만든다.,과열 상태 부여 / 생성 제어 / 빔 서치,과열,생성
044,생성 화염 스핀,Fire Spin,불꽃,특수,35,85,15,"Traps opponent, damaging them for 4-5 turns.",에이전트,행동 봉쇄,에이전트 오케스트레이션,분기 실행,상대를 묶어 두고 여러 턴 지속 피해를 준다.,화염 회전 속박 / 에이전트 오케스트레이션 / 분기 실행,속박,에이전트
045,인프라 균열,Fissure,땅,물리,—,30,5,"One-Hit-KO, if it hits.",시스템,단일 공격,배포·인프라,로드 밸런싱,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,즉시 제압 시도 / 배포·인프라 / 로드 밸런싱,없음,없음
046,생성 화염분사,Flamethrower,불꽃,특수,90,100,15,May burn opponent.,생성,강공격,생성 제어,디코딩 전략,낮은 확률로 상대를 과열 상태로 만든다.,과열 상태 부여 / 생성 제어 / 디코딩 전략,과열,생성
047,프롬프트 섬광,Flash,노말,변화,—,100,20,Lowers opponent's Accuracy.,검색,디버프,평가·관측성,오류 추적,상대의 성능을 낮춰 전투 템포를 흔든다.,명중 저하 / 평가·관측성 / 오류 추적,노출,검색
048,에이전트 비행,Fly,비행,물리,90,95,15,"Flies up on first turn, attacks on second turn.",에이전트,충전 후 발동,에이전트 오케스트레이션,핸드오프,한 턴 준비한 뒤 다음 턴에 강하게 발동한다.,공중 회피 후 타격 / 에이전트 오케스트레이션 / 핸드오프,없음,없음
049,프롬프트 초점 에너지,Focus Energy,노말,변화,—,—,30,Increases critical hit ratio.,추론,버프,추론 최적화,사고 집중도,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,에너지 집중 후 타격 안정화 / 추론 최적화 / 사고 집중도,증폭,학습
050,프롬프트 난타 어택,Fury Attack,노말,물리,15,85,20,Hits 2-5 times in one turn.,대화,연타,프롬프트 엔지니어링,델리미터 설계,한 번에 여러 차례 연속 타격한다.,다단 히트 / 프롬프트 엔지니어링 / 델리미터 설계,없음,없음
051,프롬프트 난타 연속 할퀴기,Fury Swipes,노말,물리,18,80,15,Hits 2-5 times in one turn.,대화,연타,프롬프트 엔지니어링,형식 고정,한 번에 여러 차례 연속 타격한다.,다단 히트 / 프롬프트 엔지니어링 / 형식 고정,없음,없음
052,프롬프트 노려보기,Glare,노말,변화,—,100,30,Paralyzes opponent.,정렬,상태이상,안전·정렬,리스크 스코어링,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,마비 시선 / 안전·정렬 / 리스크 스코어링,지연,시스템
053,프롬프트 으르렁,Growl,노말,변화,—,100,40,Lowers opponent's Attack.,검색,디버프,검색 증강(RAG),RAG,상대의 성능을 낮춰 전투 템포를 흔든다.,상대 약화 / 검색 증강(RAG) / RAG,노출,검색
054,프롬프트 성장,Growth,노말,변화,—,—,20,Raises user's Attack and Special Attack.,학습,버프,학습·튜닝,학습률 스케줄,자신의 성능을 올려 다음 전개를 유리하게 만든다.,성장형 강화 / 학습·튜닝 / 학습률 스케줄,증폭,학습
055,프롬프트 단두,Guillotine,노말,물리,—,30,5,"One-Hit-KO, if it hits.",대화,단일 공격,프롬프트 엔지니어링,지시문 우선순위,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,즉시 제압 시도 / 프롬프트 엔지니어링 / 지시문 우선순위,없음,없음
056,에이전트 돌풍,Gust,비행,특수,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.,에이전트,단일 공격,에이전트 오케스트레이션,툴 라우팅,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Hits Pokémon using Fly/Bounce/Sky Drop with double power / 에이전트 오케스트레이션 / 툴 라우팅,없음,없음
057,프롬프트 경화,Harden,노말,변화,—,—,30,Raises user's Defense.,정렬,보호막,안전·정렬,프롬프트 인젝션 방어,자신의 성능을 올려 다음 전개를 유리하게 만든다.,자가 강화 / 안전·정렬 / 프롬프트 인젝션 방어,보호,정렬
058,정렬 연무,Haze,얼음,변화,—,—,30,Resets all stat changes.,시스템,유틸,평가·관측성,품질 감사,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,상태 변화 초기화 / 평가·관측성 / 품질 감사,없음,없음
059,프롬프트 박치기,Headbutt,노말,물리,70,100,15,May cause flinching.,대화,단일 공격,프롬프트 엔지니어링,부정 프롬프트,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 프롬프트 엔지니어링 / 부정 프롬프트,지연,시스템
060,코드 하이 점프 킥,High Jump Kick,격투,물리,130,90,10,"If it misses, the user loses half their HP.",코드,초고위력,코드 실행·수정,정적 분석,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,"If it misses, the user loses half their HP / 코드 실행·수정 / 정적 분석",없음,없음
061,프롬프트 혼 어택,Horn Attack,노말,물리,65,100,25,,대화,단일 공격,프롬프트 엔지니어링,리라이트 프롬프트,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 리라이트 프롬프트,없음,없음
062,프롬프트 혼 드릴,Horn Drill,노말,물리,—,30,5,"One-Hit-KO, if it hits.",대화,단일 공격,프롬프트 엔지니어링,컨텍스트 프레이밍,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,즉시 제압 시도 / 프롬프트 엔지니어링 / 컨텍스트 프레이밍,없음,없음
063,멀티 하이드로 Pump,Hydro Pump,물,특수,110,80,5,,멀티모달,초고위력,멀티모달 이해,이미지 임베딩,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 멀티모달 이해 / 이미지 임베딩,없음,없음
064,프런티어 하이퍼 빔,Hyper Beam,노말,특수,150,90,5,User must recharge next turn.,시스템,반동/고비용,비용·성능 최적화,토큰 예산,사용 후 다음 턴 재정비가 필요하다.,고위력 후 재충전 페널티 / 비용·성능 최적화 / 토큰 예산,반동,시스템
065,프롬프트 하이퍼 송곳니,Hyper Fang,노말,물리,80,90,15,May cause flinching.,대화,단일 공격,프롬프트 엔지니어링,인스트럭션 레이어,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 프롬프트 엔지니어링 / 인스트럭션 레이어,지연,시스템
066,추론 최면,Hypnosis,에스퍼,변화,—,60,20,Puts opponent to sleep.,정렬,상태이상,안전·정렬,안전 체크,상대를 응답 정지 상태로 만든다.,수면 유도 / 안전·정렬 / 안전 체크,정지,정렬
067,정렬 냉각 빔,Ice Beam,얼음,특수,90,100,10,May freeze opponent.,정렬,강공격,안전·정렬,허용 목록,낮은 확률로 상대를 정지 상태로 만든다.,정지 상태 부여 / 안전·정렬 / 허용 목록,정지,정렬
068,정렬 냉각 펀치,Ice Punch,얼음,물리,75,100,15,May freeze opponent.,정렬,단일 공격,안전·정렬,거부 정책,낮은 확률로 상대를 정지 상태로 만든다.,정지 상태 부여 / 안전·정렬 / 거부 정책,정지,정렬
069,코드 점프 킥,Jump Kick,격투,물리,100,95,10,"If it misses, the user loses half their HP.",코드,강공격,코드 실행·수정,단위 테스트 생성,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,"If it misses, the user loses half their HP / 코드 실행·수정 / 단위 테스트 생성",없음,없음
070,코드 가라테 절단,Karate Chop,격투,물리,50,100,25,High critical hit ratio.,코드,단일 공격,코드 실행·수정,테스트 하니스,치명타가 잘 발생하는 정밀 타격 기술이다.,치명타 특화 / 코드 실행·수정 / 테스트 하니스,없음,없음
071,추론 염동,Kinesis,에스퍼,변화,—,80,15,Lowers opponent's Accuracy.,추론,디버프,추론 최적화,추론 깊이 제어,상대의 성능을 낮춰 전투 템포를 흔든다.,에너지 집중 후 타격 안정화 / 추론 최적화 / 추론 깊이 제어,노출,검색
072,검색 흡수 라이프,Leech Life,벌레,물리,80,100,10,User recovers half the HP inflicted on opponent.,메모리,흡수,메모리 관리,회상 캐시,준 피해의 절반만큼 자신을 회복한다.,흡혈 회복 / 메모리 관리 / 회상 캐시,회복,메모리
073,기억 흡수 씨앗,Leech Seed,풀,변화,—,90,10,Drains HP from opponent each turn.,메모리,유틸,메모리 관리,상태 저장,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,턴당 자원 흡수 / 메모리 관리 / 상태 저장,회복,메모리
074,프롬프트 압박 시선,Leer,노말,변화,—,100,30,Lowers opponent's Defense.,검색,디버프,검색 증강(RAG),검색 노출도,상대의 성능을 낮춰 전투 템포를 흔든다.,상대 방어 하향(노출) / 검색 증강(RAG) / 검색 노출도,노출,검색
075,유령 핥기,Lick,고스트,물리,30,100,30,May paralyze opponent.,시스템,단일 공격,평가·관측성,평가 하니스,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 평가·관측성 / 평가 하니스,지연,시스템
076,추론 광막 스크린,Light Screen,에스퍼,변화,—,—,30,Halves damage from Special attacks for 5 turns.,정렬,보호막,안전·정렬,응답 차단,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,특수 피해 차단막 / 안전·정렬 / 응답 차단,보호,정렬
077,프롬프트 러블리 키스,Lovely Kiss,노말,변화,—,75,10,Puts opponent to sleep.,정렬,상태이상,안전·정렬,신뢰 경계,상대를 응답 정지 상태로 만든다.,수면 키스 / 안전·정렬 / 신뢰 경계,정지,정렬
078,코드 로우 킥,Low Kick,격투,물리,—,100,20,"The heavier the opponent, the stronger the attack.",코드,단일 공격,코드 실행·수정,코드 인터프리터,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,"The heavier the opponent, the stronger the attack / 코드 실행·수정 / 코드 인터프리터",없음,없음
079,추론 명상,Meditate,에스퍼,변화,—,—,40,Raises user's Attack.,추론,버프,추론 최적화,자기 반성,자신의 성능을 올려 다음 전개를 유리하게 만든다.,명상 강화 / 추론 최적화 / 자기 반성,증폭,학습
080,기억 메가 Drain,Mega Drain,풀,특수,40,100,15,User recovers half the HP inflicted on opponent.,메모리,흡수,메모리 관리,메모리 리콜,준 피해의 절반만큼 자신을 회복한다.,강한 흡수 / 메모리 관리 / 메모리 리콜,회복,메모리
081,프롬프트 메가 킥,Mega Kick,노말,물리,120,75,5,,대화,초고위력,프롬프트 엔지니어링,응답 포맷터,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 응답 포맷터,없음,없음
082,프롬프트 메가 펀치,Mega Punch,노말,물리,80,85,20,,대화,단일 공격,프롬프트 엔지니어링,질문 재서술,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 질문 재서술,없음,없음
