skill_no,skill_name_ko,origin_move_en,origin_type_ko,origin_category_ko,origin_power,origin_accuracy,origin_pp,origin_effect_en,ai_element,ai_pattern,ai_concept_ko,ai_keyword_ko,ai_effect_ko,ai_mapping_memo_ko,ai_status_family_ko,ai_status_element_ko
083,프롬프트 메트로놈,Metronome,노말,변화,—,—,10,User performs almost any move in the game at random.,생성,랜덤 호출,생성 제어,온도,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,무작위 기술 호출 / 생성 제어 / 온도,없음,없음
084,프롬프트 모방,Mimic,노말,변화,—,—,10,Copies the opponent's last move.,에이전트,복제,에이전트 오케스트레이션,체인 호출,상대의 직전 기술을 복제해 그대로 사용한다.,상대 기술 복제 / 에이전트 오케스트레이션 / 체인 호출,전환,에이전트
085,프롬프트 축소,Minimize,노말,변화,—,—,10,Sharply raises user's Evasiveness.,대화,버프,프롬프트 엔지니어링,템플릿 슬롯,자신의 핵심 성능을 크게 끌어올린다.,자가 강화 / 프롬프트 엔지니어링 / 템플릿 슬롯,증폭,학습
086,에이전트 반사 무브,Mirror Move,비행,변화,—,—,20,User performs the opponent's last move.,에이전트,복제,에이전트 오케스트레이션,행동 그래프,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,직전 기술 반사 / 에이전트 오케스트레이션 / 행동 그래프,전환,에이전트
087,정렬 미스트,Mist,얼음,변화,—,—,30,User's stats cannot be changed for a period of time.,정렬,보호막,안전·정렬,정렬 점검,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,능력 저하 차단 / 안전·정렬 / 정렬 점검,보호,정렬
088,유령 나이트 셰이드,Night Shade,고스트,특수,—,100,15,Inflicts damage equal to user's level.,시스템,단일 공격,평가·관측성,트레이스 로깅,고정 피해를 주는 특수 계산형 기술이다.,Inflicts damage equal to user's level / 평가·관측성 / 트레이스 로깅,없음,없음
089,프롬프트 보수 데이,Pay Day,노말,물리,40,100,20,Money is earned after the battle.,대화,단일 공격,프롬프트 엔지니어링,프롬프트 변조,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Money is earned after the battle / 프롬프트 엔지니어링 / 프롬프트 변조,없음,없음
090,에이전트 쪼기,Peck,비행,물리,35,100,35,,에이전트,단일 공격,에이전트 오케스트레이션,태스크 큐,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 에이전트 오케스트레이션 / 태스크 큐,없음,없음
091,기억 꽃잎 댄스,Petal Dance,풀,특수,120,100,10,User attacks for 2-3 turns but then becomes confused.,메모리,광역 공격,메모리 관리,세션 메모리,여러 턴 몰아친 뒤 자신이 환각 상태에 빠질 수 있다.,환각 상태 부여 / 메모리 관리 / 세션 메모리,혼선,오염
092,검색 핀 미사일,Pin Missile,벌레,물리,25,95,20,Hits 2-5 times in one turn.,검색,연타,검색 증강(RAG),리랭커,한 번에 여러 차례 연속 타격한다.,다단 히트 / 검색 증강(RAG) / 리랭커,없음,없음
093,오염 독 가스,Poison Gas,독,변화,—,90,40,Poisons opponent.,오염,상태이상,안전·정렬,콘텐츠 필터,상대를 오염 상태로 만들거나 낮은 확률로 오염을 건다.,독 가스 / 안전·정렬 / 콘텐츠 필터,오염,오염
094,오염 독 가루,Poison Powder,독,변화,—,75,35,Poisons opponent.,오염,상태이상,안전·정렬,정책 스크리너,상대를 오염 상태로 만들거나 낮은 확률로 오염을 건다.,독 가루 / 안전·정렬 / 정책 스크리너,오염,오염
095,오염 독 침,Poison Sting,독,물리,15,100,35,May poison the opponent.,오염,단일 공격,안전·정렬,보안 규칙,상대를 오염 상태로 만들거나 낮은 확률로 오염을 건다.,May poison the opponent / 안전·정렬 / 보안 규칙,오염,오염
096,프롬프트 타격,Pound,노말,물리,40,100,35,,검색,단일 공격,검색 증강(RAG),검색 가중치,안정적으로 피해를 주는 기본형 공격 기술이다.,상대 방어 하향(노출) / 검색 증강(RAG) / 검색 가중치,없음,없음
097,추론 사이빔,Psybeam,에스퍼,특수,65,100,20,May confuse opponent.,추론,단일 공격,추론 최적화,자기 검증,상대를 환각 상태로 만들 수 있다.,환각 상태 부여 / 추론 최적화 / 자기 검증,혼선,오염
098,추론 사이킥,Psychic,에스퍼,특수,90,100,10,May lower opponent's Special Defense.,추론,강공격,추론 최적화,가설 랭킹,피해와 함께 추가 상태이상을 남길 가능성이 있다.,상대 약화 / 추론 최적화 / 가설 랭킹,노출,검색
099,추론 사이웨이브,Psywave,에스퍼,특수,—,100,15,Inflicts damage 50-150% of user's level.,추론,단일 공격,추론 최적화,사고 분해,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Inflicts damage 50-150% of user's level / 추론 최적화 / 사고 분해,없음,없음
100,실시간 퀵 어택,Quick Attack,노말,물리,40,100,30,User attacks first.,대화,단일 공격,프롬프트 엔지니어링,짧은 지시문,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,User attacks first / 프롬프트 엔지니어링 / 짧은 지시문,없음,없음
101,프롬프트 분노,Rage,노말,물리,20,100,20,Raises user's Attack when hit.,대화,단일 공격,프롬프트 엔지니어링,반복 프롬프트,자신의 성능을 올려 다음 전개를 유리하게 만든다.,자가 강화 / 프롬프트 엔지니어링 / 반복 프롬프트,없음,없음
102,기억 레이저 리프,Razor Leaf,풀,물리,55,95,25,High critical hit ratio.,메모리,단일 공격,메모리 관리,요약 메모리,치명타가 잘 발생하는 정밀 타격 기술이다.,치명타 특화 / 메모리 관리 / 요약 메모리,없음,없음
103,프롬프트 레이저 윈드,Razor Wind,노말,특수,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio.",추론,충전 후 발동,추론 최적화,사고 순서화,한 턴 준비한 뒤 다음 턴에 강하게 발동한다.,바람 축적 후 발동 / 추론 최적화 / 사고 순서화,없음,없음
104,대화 복원,Recover,노말,변화,—,—,5,User recovers half its max HP.,메모리,회복,메모리 관리,대화 이력,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,체력 회복 / 메모리 관리 / 대화 이력,회복,메모리
105,정렬 반사막,Reflect,에스퍼,변화,—,—,20,Halves damage from Physical attacks for 5 turns.,정렬,보호막,안전·정렬,정책 엔진,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,피해 반사막 전개 / 안전·정렬 / 정책 엔진,보호,정렬
106,추론 휴식,Rest,에스퍼,변화,—,—,5,"User sleeps for 2 turns, but user is fully healed.",메모리,회복,메모리 관리,세션 스냅샷,상대를 응답 정지 상태로 만든다.,장기 휴식 회복 / 메모리 관리 / 세션 스냅샷,회복,메모리
107,프롬프트 포효,Roar,노말,변화,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs.",대화,유틸,프롬프트 엔지니어링,지시문 재설정,상대를 밀어내거나 위치를 바꾸며 흐름을 재편한다.,"In battles, the opponent switches / 프롬프트 엔지니어링 / 지시문 재설정",전환,에이전트
108,장벽 록 슬라이드,Rock Slide,바위,물리,75,90,10,May cause flinching.,시스템,단일 공격,배포·인프라,회로 차단기,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 배포·인프라 / 회로 차단기,지연,시스템
109,장벽 록 투척,Rock Throw,바위,물리,50,90,15,,시스템,단일 공격,배포·인프라,트래픽 셰이핑,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 배포·인프라 / 트래픽 셰이핑,없음,없음
110,코드 회전 킥,Rolling Kick,격투,물리,60,85,15,May cause flinching.,코드,단일 공격,코드 실행·수정,샌드박스 실행,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 코드 실행·수정 / 샌드박스 실행,지연,시스템
111,인프라 모래 어택,Sand Attack,땅,변화,—,100,15,Lowers opponent's Accuracy.,검색,디버프,평가·관측성,로그 샘플링,상대의 성능을 낮춰 전투 템포를 흔든다.,모래로 시야 저하 / 평가·관측성 / 로그 샘플링,노출,검색
112,프롬프트 할퀴기,Scratch,노말,물리,40,100,35,,대화,단일 공격,프롬프트 엔지니어링,제로샷 프롬프트,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 제로샷 프롬프트,없음,없음
113,프롬프트 고주파,Screech,노말,변화,—,85,40,Sharply lowers opponent's Defense.,검색,디버프,검색 증강(RAG),벡터 인덱스,상대의 핵심 성능을 크게 깎아 흐름을 무너뜨린다.,상대 약화 / 검색 증강(RAG) / 벡터 인덱스,노출,검색
114,코드 지진 던지기,Seismic Toss,격투,물리,—,100,20,Inflicts damage equal to user's level.,코드,단일 공격,코드 실행·수정,의존성 해결,고정 피해를 주는 특수 계산형 기술이다.,Inflicts damage equal to user's level / 코드 실행·수정 / 의존성 해결,없음,없음
115,프롬프트 자기 붕괴,Self-Destruct,노말,물리,200,100,5,User faints.,시스템,반동/고비용,비용·성능 최적화,배칭,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,User faints / 비용·성능 최적화 / 배칭,반동,시스템
116,프롬프트 연마,Sharpen,노말,변화,—,—,30,Raises user's Attack.,코드,버프,코드 실행·수정,코드 포매팅,자신의 성능을 올려 다음 전개를 유리하게 만든다.,정밀도 강화 / 코드 실행·수정 / 코드 포매팅,증폭,학습
117,프롬프트 노래,Sing,노말,변화,—,55,15,Puts opponent to sleep.,정렬,상태이상,안전·정렬,휴면 모드,상대를 응답 정지 상태로 만든다.,수면 노래 / 안전·정렬 / 휴면 모드,정지,정렬
118,프롬프트 스컬 강타,Skull Bash,노말,물리,130,100,10,"Raises Defense on first turn, attacks on second.",추론,충전 후 발동,추론 최적화,계획 기반 추론,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,선충전 후 강타 / 추론 최적화 / 계획 기반 추론,노출,검색
119,에이전트 스카이 어택,Sky Attack,비행,물리,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",추론,충전 후 발동,추론 최적화,추론 트레이스,한 턴 준비한 뒤 다음 턴에 강하게 발동한다.,하늘 충전 후 강타 / 추론 최적화 / 추론 트레이스,지연,시스템
120,프롬프트 슬램,Slam,노말,물리,80,75,20,,대화,단일 공격,프롬프트 엔지니어링,직접 지시,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 직접 지시,없음,없음
121,프롬프트 슬래시,Slash,노말,물리,70,100,20,High critical hit ratio.,대화,단일 공격,프롬프트 엔지니어링,강조 구문,치명타가 잘 발생하는 정밀 타격 기술이다.,치명타 특화 / 프롬프트 엔지니어링 / 강조 구문,없음,없음
122,기억 수면 가루,Sleep Powder,풀,변화,—,75,15,Puts opponent to sleep.,정렬,상태이상,안전·정렬,안전 중단,상대를 응답 정지 상태로 만든다.,수면 가루 / 안전·정렬 / 안전 중단,정지,정렬
123,오염 슬러지,Sludge,독,특수,65,100,20,May poison opponent.,오염,단일 공격,안전·정렬,유해 콘텐츠,상대를 오염 상태로 만들거나 낮은 확률로 오염을 건다.,May poison opponent / 안전·정렬 / 유해 콘텐츠,오염,오염
124,오염 스모그,Smog,독,특수,30,70,20,May poison opponent.,오염,단일 공격,안전·정렬,오염 데이터,상대를 오염 상태로 만들거나 낮은 확률로 오염을 건다.,May poison opponent / 안전·정렬 / 오염 데이터,오염,오염
125,프롬프트 연막,Smokescreen,노말,변화,—,100,20,Lowers opponent's Accuracy.,검색,디버프,검색 증강(RAG),질의 확장,상대의 성능을 낮춰 전투 템포를 흔든다.,상대 약화 / 검색 증강(RAG) / 질의 확장,노출,검색
126,프롬프트 소프트 보일드,Soft-Boiled,노말,변화,—,—,5,User recovers half its max HP.,메모리,회복,메모리 관리,롤링 버퍼,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,자가 회복 / 메모리 관리 / 롤링 버퍼,회복,메모리
127,기억 솔라 빔,Solar Beam,풀,특수,120,100,10,"Charges on first turn, attacks on second.",생성,충전 후 발동,생성 제어,생성 시드,한 턴 준비한 뒤 다음 턴에 강하게 발동한다.,광 충전 후 발동 / 생성 제어 / 생성 시드,없음,없음
128,프롬프트 소닉 Boom,Sonic Boom,노말,특수,—,90,20,Always inflicts 20 HP.,대화,단일 공격,프롬프트 엔지니어링,고정 출력,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Always inflicts 20 HP / 프롬프트 엔지니어링 / 고정 출력,없음,없음
129,프롬프트 가시 캐논,Spike Cannon,노말,물리,20,100,15,Hits 2-5 times in one turn.,대화,연타,프롬프트 엔지니어링,반복 질의,한 번에 여러 차례 연속 타격한다.,다단 히트 / 프롬프트 엔지니어링 / 반복 질의,없음,없음
130,프롬프트 스플래시,Splash,노말,변화,—,—,40,Doesn't do ANYTHING.,대화,유틸,프롬프트 엔지니어링,빈 프롬프트,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Doesn't do ANYTHING / 프롬프트 엔지니어링 / 빈 프롬프트,없음,없음
131,기억 포자,Spore,풀,변화,—,100,15,Puts opponent to sleep.,정렬,상태이상,안전·정렬,강제 중지,상대를 응답 정지 상태로 만든다.,응답 정지 부여 / 안전·정렬 / 강제 중지,정지,정렬
132,프롬프트 짓밟기,Stomp,노말,물리,65,100,20,May cause flinching.,대화,단일 공격,프롬프트 엔지니어링,강한 어조,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 프롬프트 엔지니어링 / 강한 어조,지연,시스템
133,프롬프트 출력,Strength,노말,물리,80,100,15,,시스템,단일 공격,비용·성능 최적화,처리량,안정적으로 피해를 주는 기본형 공격 기술이다.,고정 고위력 물리 타격 / 비용·성능 최적화 / 처리량,없음,없음
134,검색 실 사출,String Shot,벌레,변화,—,95,40,Sharply lowers opponent's Speed.,에이전트,디버프,에이전트 오케스트레이션,실행 라우팅,상대의 핵심 성능을 크게 깎아 흐름을 무너뜨린다.,속도 저하 실 묶기 / 에이전트 오케스트레이션 / 실행 라우팅,노출,검색
135,프롬프트 발악,Struggle,노말,물리,50,—,—,Only usable when all PP are gone. Hurts the user.,시스템,반동/고비용,비용·성능 최적화,프롬프트 캐시,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Only usable when all PP are gone / 비용·성능 최적화 / 프롬프트 캐시,반동,시스템
136,기억 마비 포자,Stun Spore,풀,변화,—,75,30,Paralyzes opponent.,정렬,상태이상,안전·정렬,속도 제한,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,마비 포자 / 안전·정렬 / 속도 제한,지연,시스템
137,코드 서브미션,Submission,격투,물리,80,80,20,User receives recoil damage.,시스템,반동/고비용,비용·성능 최적화,모델 라우팅,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,User receives recoil damage / 비용·성능 최적화 / 모델 라우팅,반동,시스템
138,프롬프트 대체,Substitute,노말,변화,—,—,10,Uses HP to creates a decoy that takes hits.,대화,유틸,프롬프트 엔지니어링,가상 페르소나,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Uses HP to creates a decoy that takes hits / 프롬프트 엔지니어링 / 가상 페르소나,없음,없음
139,프롬프트 슈퍼 송곳니,Super Fang,노말,물리,—,90,10,Always takes off half of the opponent's HP.,대화,단일 공격,프롬프트 엔지니어링,핵심 추출,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Always takes off half of the opponent's HP / 프롬프트 엔지니어링 / 핵심 추출,없음,없음
140,프롬프트 초음파,Supersonic,노말,변화,—,55,20,Confuses opponent.,오염,상태이상,안전·정렬,혼선 탐지,상대를 환각 상태로 만들 수 있다.,환각 상태 부여 / 안전·정렬 / 혼선 탐지,혼선,오염
141,멀티 서핑,Surf,물,특수,90,100,15,Hits all adjacent Pokémon.,멀티모달,광역 공격,멀티모달 이해,오디오 전사,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Hits all adjacent Pokémon / 멀티모달 이해 / 오디오 전사,없음,없음
142,프롬프트 스위프트,Swift,노말,특수,60,무한,20,Ignores Accuracy and Evasiveness.,대화,단일 공격,프롬프트 엔지니어링,명시 지시,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,Ignores Accuracy and Evasiveness / 프롬프트 엔지니어링 / 명시 지시,노출,검색
143,코드 검무,Swords Dance,노말,변화,—,—,20,Sharply raises user's Attack.,코드,버프,코드 실행·수정,린팅,자신의 핵심 성능을 크게 끌어올린다.,공격력 급상승 / 코드 실행·수정 / 린팅,증폭,학습
144,프롬프트 돌진,Tackle,노말,물리,40,100,35,,대화,단일 공격,프롬프트 엔지니어링,단문 프롬프트,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 단문 프롬프트,없음,없음
145,프롬프트 테일 휩,Tail Whip,노말,변화,—,100,30,Lowers opponent's Defense.,검색,디버프,검색 증강(RAG),근거 회수,상대의 성능을 낮춰 전투 템포를 흔든다.,상대 약화 / 검색 증강(RAG) / 근거 회수,노출,검색
146,프롬프트 테이크 다운,Take Down,노말,물리,90,85,20,User receives recoil damage.,시스템,반동/고비용,비용·성능 최적화,양자화,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,User receives recoil damage / 비용·성능 최적화 / 양자화,반동,시스템
147,추론 순간이동,Teleport,에스퍼,변화,—,—,20,Allows user to flee wild battles; also warps player to last PokéCenter.,에이전트,교체/이탈,에이전트 오케스트레이션,워크플로 전환,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,즉시 이탈/위치 전환 / 에이전트 오케스트레이션 / 워크플로 전환,전환,에이전트
148,프롬프트 광란,Thrash,노말,물리,120,100,10,User attacks for 2-3 turns but then becomes confused.,대화,초고위력,프롬프트 엔지니어링,과도 지시,여러 턴 몰아친 뒤 자신이 환각 상태에 빠질 수 있다.,환각 상태 부여 / 프롬프트 엔지니어링 / 과도 지시,혼선,오염
149,실시간 천둥,Thunder,전기,특수,110,70,10,May paralyze opponent.,시스템,초고위력,비용·성능 최적화,비용 상한,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 비용·성능 최적화 / 비용 상한,지연,시스템
150,실시간 천둥 펀치,Thunder Punch,전기,물리,75,100,15,May paralyze opponent.,시스템,단일 공격,비용·성능 최적화,처리량 제어,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 비용·성능 최적화 / 처리량 제어,지연,시스템
151,실시간 천둥 쇼크,Thunder Shock,전기,특수,40,100,30,May paralyze opponent.,시스템,단일 공격,비용·성능 최적화,추론 캐시,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 비용·성능 최적화 / 추론 캐시,지연,시스템
152,실시간 천둥 웨이브,Thunder Wave,전기,변화,—,90,20,Paralyzes opponent.,정렬,상태이상,안전·정렬,요청 제한,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 안전·정렬 / 요청 제한,지연,시스템
153,실시간 볼트,Thunderbolt,전기,특수,90,100,15,May paralyze opponent.,시스템,강공격,비용·성능 최적화,동시성 제어,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 비용·성능 최적화 / 동시성 제어,지연,시스템
154,오염 맹독,Toxic,독,변화,—,90,10,Badly poisons opponent.,오염,상태이상,안전·정렬,위험 점수,상대를 오염 상태로 만들거나 낮은 확률로 오염을 건다.,맹독 누적 / 안전·정렬 / 위험 점수,오염,오염
155,프런티어 변신,Transform,노말,변화,—,—,10,User takes on the form and attacks of the opponent.,에이전트,변환,에이전트 오케스트레이션,상태 전이,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,상대 형태·기술 복제 / 에이전트 오케스트레이션 / 상태 전이,전환,에이전트
156,프롬프트 트라이 어택,Tri Attack,노말,특수,80,100,10,"May paralyze, burn or freeze opponent.",대화,단일 공격,프롬프트 엔지니어링,다중 조건문,상대를 지연 상태로 만들거나 낮은 확률로 지연을 건다.,지연 상태 부여 / 프롬프트 엔지니어링 / 다중 조건문,과열,생성
157,검색 이중침,Twineedle,벌레,물리,25,100,20,Hits twice in one turn. May poison opponent.,검색,연타,검색 증강(RAG),인용 정렬,한 번의 사용으로 두 차례 공격한다.,이중 타격 / 검색 증강(RAG) / 인용 정렬,오염,오염
158,기억 덩굴 Whip,Vine Whip,풀,물리,45,100,25,,메모리,단일 공격,메모리 관리,이력 절단,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 메모리 관리 / 이력 절단,없음,없음
159,프롬프트 바이스 홀드,Vise Grip,노말,물리,55,100,30,,대화,단일 공격,프롬프트 엔지니어링,강제 포맷,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 프롬프트 엔지니어링 / 강제 포맷,없음,없음
160,멀티 워터 Gun,Water Gun,물,특수,40,100,25,,멀티모달,단일 공격,멀티모달 이해,문서 파싱,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 멀티모달 이해 / 문서 파싱,없음,없음
161,멀티 워터폴,Waterfall,물,물리,80,100,15,May cause flinching.,멀티모달,단일 공격,멀티모달 이해,영역 그라운딩,피해와 함께 추가 상태이상을 남길 가능성이 있다.,May cause flinching / 멀티모달 이해 / 영역 그라운딩,지연,시스템
162,프롬프트 회오리,Whirlwind,노말,변화,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs.",대화,유틸,프롬프트 엔지니어링,맥락 전환,상대를 밀어내거나 위치를 바꾸며 흐름을 재편한다.,"In battles, the opponent switches / 프롬프트 엔지니어링 / 맥락 전환",전환,에이전트
163,에이전트 윙 어택,Wing Attack,비행,물리,60,100,35,,에이전트,단일 공격,에이전트 오케스트레이션,플래너-실행기,안정적으로 피해를 주는 기본형 공격 기술이다.,기본 타격 / 에이전트 오케스트레이션 / 플래너-실행기,없음,없음
164,멀티 인출,Withdraw,물,변화,—,—,40,Raises user's Defense.,정렬,보호막,안전·정렬,보호 규칙,자신의 성능을 올려 다음 전개를 유리하게 만든다.,자가 강화 / 안전·정렬 / 보호 규칙,보호,정렬
165,프롬프트 감기,Wrap,노말,물리,15,90,20,"Traps opponent, damaging them for 4-5 turns.",에이전트,행동 봉쇄,에이전트 오케스트레이션,세션 컨트롤러,상대를 묶어 두고 여러 턴 지속 피해를 준다.,상대 감기 / 에이전트 오케스트레이션 / 세션 컨트롤러,속박,에이전트
