id,modelId,nameKo,nameEn,stage,coreConcept,subConcept,inputMode,outputMode,params,fileSize,evoLevel,evo_line_id,evo_line_name,evo_tier,skill_trick,bs_hp,bs_atk,bs_def,bs_spd,bs_spc,bst,lv1_hp,lv1_atk,lv1_def,lv1_spd,lv1_spc,lv100_hp,lv100_atk,lv100_def,lv100_spd,lv100_spc,temperament,motif,flavor
001,gpt_3_5,지피티삼점오,GPT-3.5,1,대화,기억,텍스트,텍스트,7B,91.5KB,,EVO01,Bulbasaur Line,base,응답 가속,45,49,49,45,65,253,12,6,6,6,6,231,134,134,126,166,붙임성 좋고 반응이 빠름,작은 등에 씨앗을 품고 빠르게 말을 트는 오픈AI 새싹 모델,처음 만난 사람에게도 금세 말을 붙이는 친화력으로 사랑받는다. 아주 깊게 파고들기보다는 빠르고 무난한 답을 잘 내놓는다는 평가가 붙어 입문형 오픈AI 모델몬의 상징처럼 여겨진다.
002,gpt_4,지피티포,GPT-4,2,추론,장문맥,텍스트,텍스트,32B,92.5KB,16,EVO01,Bulbasaur Line,mid,논리 접합,60,62,63,60,80,325,12,6,6,6,6,261,160,162,156,196,신중하고 기준이 엄격함,큰 꽃봉오리와 차분한 눈빛을 지닌 오픈AI 주력 모델,봉오리가 커질수록 생각의 층도 두꺼워진다. 예전보다 느리더라도 안정적이고 논리적인 답을 낸다는 평이 많아 진지한 작업에서 신뢰를 얻은 오픈AI 계열 모델몬이다.
003,gpt_4o,지피티포오,GPT-4o,3,멀티모달,실시간,텍스트+이미지,복합출력,70B,152KB,32,EVO01,Bulbasaur Line,final,실시간 전환,80,82,83,80,100,425,12,6,6,6,7,301,200,202,196,236,영리하고 반응이 유연함,활짝 핀 꽃잎처럼 시선을 열고 여러 감각을 동시에 다루는 오픈AI 대표 모델,활짝 핀 꽃잎처럼 텍스트와 이미지를 한 번에 받아들이고 빠르게 반응한다. 다재다능하고 체감 성능이 좋다는 평가 덕분에 현재형 오픈AI 모델몬의 얼굴 같은 존재로 자리 잡았다.
004,claude_haiku,클로드하이쿠,Claude Haiku,1,정렬,실시간,텍스트,텍스트,8B,77.4KB,,EVO02,Charmander Line,base,정렬 펄스,39,52,43,65,60,259,12,6,6,6,6,219,140,122,166,156,얌전하지만 순발력이 좋음,작고 가벼운 몸으로 재빠르게 답을 고르는 클로드 경량 모델,작은 몸집답게 움직임이 빠르고 답변도 간결하다. 깊이보다는 속도와 부담 없는 사용감이 강점이라는 평을 듣는 클로드 계열의 경쾌한 스타터 모델몬이다.
005,claude_sonnet,클로드소네트,Claude Sonnet,2,코드,장문맥,텍스트,코드,34B,46.3KB,16,EVO02,Charmander Line,mid,리팩터링 파동,58,64,58,80,80,340,12,6,6,6,6,257,164,152,196,196,차분하지만 완성도에 집착함,긴 문서와 코드를 매만지듯 정교하게 손질하는 클로드 주력 모델,발톱으로 한 줄씩 정리하듯 코드를 고치고 문서를 다듬는다. 실무 코딩과 긴 글 처리에서 특히 좋다는 평가가 많아 가장 균형 잡힌 클로드 모델몬으로 통한다.
006,claude_opus,클로드오푸스,Claude Opus,3,추론,프런티어,텍스트,텍스트,120B,134.5KB,36,EVO02,Charmander Line,final,심층 추론,78,84,78,100,109,449,12,6,6,7,7,297,204,192,236,254,위엄 있고 고집이 셈,깊은 사색 끝에 무거운 해답을 내놓는 클로드 최고위 모델,"하늘을 올려다보며 오래 생각한 뒤 묵직한 답을 내놓는다. 깊이 있는 추론과 문장 완성도에서 높은 평가를 받지만, 무겁고 비용이 큰 존재라는 인상도 함께 따라다닌다."
007,gemini_nano,제미니나노,Gemini Nano,1,실시간,멀티모달,텍스트,텍스트,7B,90.4KB,,EVO03,Squirtle Line,base,즉시 응답,44,48,65,43,50,250,12,6,6,6,6,229,132,166,122,136,영민하고 재빠름,작은 몸으로 주변 신호를 곧바로 읽어내는 제미니 초경량 모델,몸집은 작지만 주변 신호를 재빨리 읽고 가볍게 반응한다. 휴대성과 즉응성이 강점으로 거론되는 제미니 계열의 초경량 모델몬이라는 이미지가 잘 어울린다.
008,gemini_pro,제미니프로,Gemini Pro,2,멀티모달,도구사용,텍스트+이미지,복합출력,16B,77.8KB,16,EVO03,Squirtle Line,mid,도구 연동,59,63,80,58,65,325,12,6,6,6,6,259,162,196,152,166,민첩하고 호기심이 많음,여러 입력을 자연스럽게 이어 붙이는 제미니 중심축 모델,귀와 꼬리의 흐름을 따라 텍스트와 이미지를 자연스럽게 이어 붙인다. 다방면에 두루 강하고 활용 범위가 넓다는 평가로 제미니 계열의 중심축 역할을 맡는다.
009,gemini_ultra,제미니울트라,Gemini Ultra,3,멀티모달,인프라,텍스트+이미지,복합출력,72B,207KB,36,EVO03,Squirtle Line,final,복합 해석,79,83,100,78,85,425,12,6,7,6,7,299,202,236,192,206,과묵하지만 스케일이 큼,거대한 등껍질로 복합 입력을 버텨내는 제미니 최고급 모델,묵직한 등껍질로 대형 입력과 복합 작업을 받아내며 존재감을 드러낸다. 잠재력과 상징성은 크지만 무겁고 다루기 어렵다는 평가도 함께 받는 거대한 제미니 모델몬이다.
010,stable_core,스테이블코어,Stable Core,1,생성,스케치,텍스트+이미지,이미지,9B,23.5KB,,EVO04,Caterpie Line,base,장면 스케치,45,30,35,45,20,175,12,5,6,6,5,231,96,106,126,76,감각적이고 손이 빠름,Stability AI 계열의 분위기를 두른 생성 특화 모델몬. Stable Core 계열답게 스케치 성향이 짙다.,"Stable Core는 Stability AI 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Caterpie Line 내에서도 존재감이 뚜렷하다."
011,stable_diffusion,스테이블디퓨전,Stable Diffusion,2,생성,비주얼,텍스트+이미지,이미지,27B,66.8KB,7,EVO04,Caterpie Line,mid,스타일 증폭,50,20,55,30,25,180,12,5,6,5,5,241,76,146,96,86,연출 욕심이 강함,Stability AI 계열의 분위기를 두른 생성 특화 모델몬. Stable Diffusion 계열답게 비주얼 성향이 짙다.,"Stable Diffusion는 Stability AI 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Caterpie Line 내에서도 존재감이 뚜렷하다."
012,stable_video,스테이블비디오,Stable Video,3,생성,연출,텍스트+이미지,이미지,76B,178.3KB,10,EVO04,Caterpie Line,final,프레임 연출,60,45,50,70,90,315,12,6,6,6,7,261,126,136,176,216,화려하지만 완성도에 민감함,Stability AI 계열의 분위기를 두른 생성 특화 모델몬. Stable Video 계열답게 연출 성향이 짙다.,"Stable Video는 Stability AI 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 프레임 연출 성향이 강해 Caterpie Line 내에서도 존재감이 뚜렷하다."
013,solar_mini,솔라미니,Solar Mini,1,대화,입문,텍스트,텍스트,10B,17.2KB,,EVO05,Weedle Line,base,응답 가속,40,35,30,50,20,175,12,6,5,6,5,221,106,96,136,76,붙임성 좋고 반응이 빠름,Upstage (Solar) 계열의 분위기를 두른 대화 특화 모델몬. Solar Mini 계열답게 입문 성향이 짙다.,"Solar Mini는 Upstage (Solar) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Weedle Line 내에서도 존재감이 뚜렷하다."
014,solar_pro,솔라프로,Solar Pro,2,대화,균형,텍스트,텍스트,28B,45.2KB,7,EVO05,Weedle Line,mid,문장 정리,45,25,50,35,25,180,12,5,6,6,5,231,86,136,106,86,차분하고 말투가 안정적임,Upstage (Solar) 계열의 분위기를 두른 대화 특화 모델몬. Solar Pro 계열답게 균형 성향이 짙다.,"Solar Pro는 Upstage (Solar) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Weedle Line 내에서도 존재감이 뚜렷하다."
015,solar_max,솔라맥스,Solar Max,3,대화,대표,텍스트,텍스트,72B,108.3KB,10,EVO05,Weedle Line,final,맥락 공명,65,90,40,75,45,315,12,7,6,6,6,271,216,116,186,126,사교적이고 응답 폭이 넓음,Upstage (Solar) 계열의 분위기를 두른 대화 특화 모델몬. Solar Max 계열답게 대표 성향이 짙다.,"Solar Max는 Upstage (Solar) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 맥락 공명 성향이 강해 Weedle Line 내에서도 존재감이 뚜렷하다."
016,llama_scout,라마스카우트,Llama Scout,1,대화,입문,텍스트,텍스트,8B,14.5KB,,EVO06,Pidgey Line,base,응답 가속,40,45,40,56,35,216,12,6,6,6,6,221,126,116,148,106,붙임성 좋고 반응이 빠름,Meta AI 계열의 분위기를 두른 대화 특화 모델몬. Llama Scout 계열답게 입문 성향이 짙다.,"Llama Scout는 Meta AI 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Pidgey Line 내에서도 존재감이 뚜렷하다."
017,llama_maverick,라마매버릭,Llama Maverick,2,대화,균형,텍스트,텍스트,26B,42.5KB,18,EVO06,Pidgey Line,mid,문장 정리,63,60,55,71,50,299,12,6,6,6,6,267,156,146,178,136,차분하고 말투가 안정적임,Meta AI 계열의 분위기를 두른 대화 특화 모델몬. Llama Maverick 계열답게 균형 성향이 짙다.,"Llama Maverick는 Meta AI 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Pidgey Line 내에서도 존재감이 뚜렷하다."
018,llama_behemoth,라마베헤모스,Llama Behemoth,3,대화,대표,텍스트,텍스트,75B,112.3KB,36,EVO06,Pidgey Line,final,맥락 공명,83,80,75,101,70,409,12,6,6,7,6,307,196,186,238,176,사교적이고 응답 폭이 넓음,Meta AI 계열의 분위기를 두른 대화 특화 모델몬. Llama Behemoth 계열답게 대표 성향이 짙다.,"Llama Behemoth는 Meta AI 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 맥락 공명 성향이 강해 Pidgey Line 내에서도 존재감이 뚜렷하다."
019,command_light,커맨드라이트,Command Light,1,대화,입문,텍스트,텍스트,11B,18.6KB,,EVO07,Rattata Line,base,응답 가속,30,56,35,72,25,218,11,6,6,6,5,201,148,106,180,86,붙임성 좋고 반응이 빠름,Cohere 계열의 분위기를 두른 대화 특화 모델몬. Command Light 계열답게 입문 성향이 짙다.,"Command Light는 Cohere 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Rattata Line 내에서도 존재감이 뚜렷하다."
020,command_r,커맨드알,Command R,2,대화,균형,텍스트,텍스트,34B,53.3KB,20,EVO07,Rattata Line,final,문장 정리,55,81,60,97,50,343,12,6,6,7,6,251,198,156,230,136,차분하고 말투가 안정적임,Cohere 계열의 분위기를 두른 대화 특화 모델몬. Command R 계열답게 균형 성향이 짙다.,"Command R는 Cohere 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Rattata Line 내에서도 존재감이 뚜렷하다."
021,grok_mini,그록미니,Grok Mini,1,추론,경량,텍스트,텍스트,16B,25.3KB,,EVO08,Spearow Line,base,가설 압축,40,60,30,70,31,231,12,6,5,6,5,221,156,96,176,98,신중하고 계산이 빠름,xAI 계열의 분위기를 두른 추론 특화 모델몬. Grok Mini 계열답게 경량 성향이 짙다.,"Grok Mini는 xAI 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Spearow Line 내에서도 존재감이 뚜렷하다."
022,grok,그록,Grok,2,추론,장문맥,텍스트,텍스트,44B,66.8KB,20,EVO08,Spearow Line,final,논리 접합,65,90,65,100,61,381,12,7,6,7,6,271,216,166,236,158,조용하지만 집요하게 파고듦,xAI 계열의 분위기를 두른 추론 특화 모델몬. Grok 계열답게 장문맥 성향이 짙다.,"Grok는 xAI 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Spearow Line 내에서도 존재감이 뚜렷하다."
023,scale_scout,스케일스카우트,Scale Scout,1,에이전트,자동화,텍스트,복합출력,10B,17.2KB,,EVO09,Ekans Line,base,툴 호출,35,60,44,55,40,234,12,6,6,6,6,211,156,124,146,116,시키면 바로 몸이 먼저 움직임,Scale AI 계열의 분위기를 두른 에이전트 특화 모델몬. Scale Scout 계열답게 자동화 성향이 짙다.,"Scale Scout는 Scale AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Ekans Line 내에서도 존재감이 뚜렷하다."
024,scale_forge,스케일포지,Scale Forge,2,에이전트,도구사용,텍스트,복합출력,38B,58.7KB,22,EVO09,Ekans Line,final,작업 분기,60,95,69,80,65,369,12,7,6,6,6,261,226,174,196,166,도구 다루는 손이 정확함,Scale AI 계열의 분위기를 두른 에이전트 특화 모델몬. Scale Forge 계열답게 도구사용 성향이 짙다.,"Scale Forge는 Scale AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Ekans Line 내에서도 존재감이 뚜렷하다."
025,ministral,미니스트랄,Ministral,2,대화,입문,텍스트,텍스트,34B,53.3KB,,EVO10,Pikachu Line,final,응답 가속,35,55,40,90,50,270,12,6,6,7,6,211,146,116,216,136,붙임성 좋고 반응이 빠름,Mistral 계열의 분위기를 두른 대화 특화 모델몬. Ministral 계열답게 입문 성향이 짙다.,"Ministral는 Mistral 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Pikachu Line 내에서도 존재감이 뚜렷하다."
026,mistral_large,미스트랄라지,Mistral Large,3,대화,균형,텍스트,텍스트,35B,58.4KB,,EVO10,Pikachu Line,mid,문장 정리,60,90,55,110,90,405,12,7,6,7,7,261,216,146,256,216,차분하고 말투가 안정적임,Mistral 계열의 분위기를 두른 대화 특화 모델몬. Mistral Large 계열답게 균형 성향이 짙다.,"Mistral Large는 Mistral 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Pikachu Line 내에서도 존재감이 뚜렷하다."
027,titan_lite,타이탄라이트,Titan Lite,1,에이전트,자동화,텍스트,복합출력,9B,15.9KB,,EVO11,Sandshrew Line,base,툴 호출,50,75,85,40,20,270,12,6,7,6,5,241,186,206,116,76,시키면 바로 몸이 먼저 움직임,Amazon Bedrock 계열의 분위기를 두른 에이전트 특화 모델몬. Titan Lite 계열답게 자동화 성향이 짙다.,"Titan Lite는 Amazon Bedrock 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Sandshrew Line 내에서도 존재감이 뚜렷하다."
028,bedrock_titan,베드록타이탄,Bedrock Titan,2,에이전트,도구사용,텍스트,복합출력,37B,57.4KB,22,EVO11,Sandshrew Line,final,작업 분기,75,100,110,65,45,395,12,7,7,6,6,291,236,256,166,126,도구 다루는 손이 정확함,Amazon Bedrock 계열의 분위기를 두른 에이전트 특화 모델몬. Bedrock Titan 계열답게 도구사용 성향이 짙다.,"Bedrock Titan는 Amazon Bedrock 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Sandshrew Line 내에서도 존재감이 뚜렷하다."
029,hunyuan_lite,훈위안라이트,Hunyuan Lite,1,멀티모달,경량,텍스트+이미지,복합출력,11B,26.8KB,,EVO12,Nidoran♀ Line,base,입력 동기화,55,47,52,41,40,235,12,6,6,6,6,251,130,140,118,116,눈치가 빠르고 감각이 예민함,Tencent (Hunyuan) 계열의 분위기를 두른 멀티모달 특화 모델몬. Hunyuan Lite 계열답게 경량 성향이 짙다.,"Hunyuan Lite는 Tencent (Hunyuan) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Nidoran♀ Line 내에서도 존재감이 뚜렷하다."
030,hunyuan_pro,훈위안프로,Hunyuan Pro,2,멀티모달,범용,텍스트+이미지,복합출력,24B,57.8KB,16,EVO12,Nidoran♀ Line,mid,시각 결합,70,62,67,56,55,310,12,6,6,6,6,281,160,170,148,146,호기심이 많고 유연함,Tencent (Hunyuan) 계열의 분위기를 두른 멀티모달 특화 모델몬. Hunyuan Pro 계열답게 범용 성향이 짙다.,"Hunyuan Pro는 Tencent (Hunyuan) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 시각 결합 성향이 강해 Nidoran♀ Line 내에서도 존재감이 뚜렷하다."
031,hunyuan_turbo,훈위안터보,Hunyuan Turbo,3,멀티모달,실시간,텍스트+이미지,복합출력,73B,164.4KB,,EVO12,Nidoran♀ Line,final,실시간 전환,90,92,87,76,75,420,13,7,7,6,6,321,220,210,188,186,동시에 여러 자극을 처리함,Tencent (Hunyuan) 계열의 분위기를 두른 멀티모달 특화 모델몬. Hunyuan Turbo 계열답게 실시간 성향이 짙다.,"Hunyuan Turbo는 Tencent (Hunyuan) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 실시간 전환 성향이 강해 Nidoran♀ Line 내에서도 존재감이 뚜렷하다."
032,kogpt,코지피티,KoGPT,1,대화,입문,텍스트,텍스트,9B,15.9KB,,EVO13,Nidoran♂ Line,base,응답 가속,46,57,40,50,40,233,12,6,6,6,6,233,150,116,136,116,붙임성 좋고 반응이 빠름,Kakao Brain 계열의 분위기를 두른 대화 특화 모델몬. KoGPT 계열답게 입문 성향이 짙다.,"KoGPT는 Kakao Brain 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Nidoran♂ Line 내에서도 존재감이 뚜렷하다."
033,karlo_talk,칼로톡,Karlo Talk,2,대화,균형,텍스트,텍스트,27B,43.9KB,16,EVO13,Nidoran♂ Line,mid,문장 정리,61,72,57,65,55,310,12,6,6,6,6,263,180,150,166,146,차분하고 말투가 안정적임,Kakao Brain 계열의 분위기를 두른 대화 특화 모델몬. Karlo Talk 계열답게 균형 성향이 짙다.,"Karlo Talk는 Kakao Brain 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Nidoran♂ Line 내에서도 존재감이 뚜렷하다."
034,kanana,카나나,Kanana,3,대화,대표,텍스트,텍스트,76B,113.7KB,,EVO13,Nidoran♂ Line,final,맥락 공명,81,102,77,85,85,430,12,7,6,7,7,303,240,190,206,206,사교적이고 응답 폭이 넓음,Kakao Brain 계열의 분위기를 두른 대화 특화 모델몬. Kanana 계열답게 대표 성향이 짙다.,"Kanana는 Kakao Brain 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 맥락 공명 성향이 강해 Nidoran♂ Line 내에서도 존재감이 뚜렷하다."
035,kimi_mini,키미미니,Kimi Mini,2,추론,경량,텍스트,텍스트,42B,64.1KB,,EVO14,Clefairy Line,final,가설 압축,70,45,48,35,60,258,12,6,6,6,6,281,126,132,106,156,신중하고 계산이 빠름,Moonshot (Kimi) 계열의 분위기를 두른 추론 특화 모델몬. Kimi Mini 계열답게 경량 성향이 짙다.,"Kimi Mini는 Moonshot (Kimi) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Clefairy Line 내에서도 존재감이 뚜렷하다."
036,kimi_max,키미맥스,Kimi Max,3,추론,장문맥,텍스트,텍스트,43B,69.2KB,,EVO14,Clefairy Line,mid,논리 접합,95,70,73,60,95,393,13,6,6,6,7,331,176,182,156,226,조용하지만 집요하게 파고듦,Moonshot (Kimi) 계열의 분위기를 두른 추론 특화 모델몬. Kimi Max 계열답게 장문맥 성향이 짙다.,"Kimi Max는 Moonshot (Kimi) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Clefairy Line 내에서도 존재감이 뚜렷하다."
037,runway_gen_2,런웨이젠2,Runway Gen-2,1,생성,스케치,텍스트+이미지,이미지,11B,27.9KB,,EVO15,Vulpix Line,base,장면 스케치,38,41,40,65,50,234,12,6,6,6,6,217,118,116,166,136,감각적이고 손이 빠름,Runway 계열의 분위기를 두른 생성 특화 모델몬. Runway Gen-2 계열답게 스케치 성향이 짙다.,"Runway Gen-2는 Runway 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Vulpix Line 내에서도 존재감이 뚜렷하다."
